Date,Open,High,Low,Close,Adj Close,Volume
2024-06-17,213.37,218.95,212.72,216.67,216.67,93728300
2024-06-18,217.59,218.63,213.0,214.29,214.29,79943300
2024-06-20,213.93,214.24,208.85,209.68,209.68,86172500
2024-06-21,210.39,211.89,207.11,207.49,207.49,246421400
2024-06-24,207.72,212.7,206.59,208.14,208.14,80727000
2024-06-25,209.15,211.38,208.61,209.07,209.07,56713900
2024-06-26,211.5,214.86,210.64,213.25,213.25,66213200
2024-06-27,214.69,215.74,212.35,214.1,214.1,49772700
2024-06-28,215.77,216.07,210.3,210.62,210.62,82542700
2024-07-01,212.09,217.51,211.92,216.75,216.75,60402900
2024-07-02,216.15,220.38,215.1,220.27,220.27,58046200
2024-07-03,220.0,221.55,219.03,221.55,221.55,37369800
2024-07-05,221.65,226.45,221.65,226.34,226.34,60412400
2024-07-08,227.09,227.85,223.25,227.82,227.82,59085900
2024-07-09,227.93,229.4,226.37,228.68,228.68,48076100
2024-07-10,229.3,233.08,229.25,232.98,232.98,62627700
2024-07-11,231.39,232.39,225.77,227.57,227.57,64710600
2024-07-12,228.92,232.64,228.68,230.54,230.54,53046500
2024-07-15,236.48,237.23,233.09,234.4,234.4,62631300
2024-07-16,235.0,236.27,232.33,234.82,234.82,43234300
2024-07-17,229.45,231.46,226.64,228.88,228.88,57345900
2024-07-18,230.28,230.44,222.27,224.18,224.18,66034600
2024-07-19,224.82,226.8,223.28,224.31,224.31,49151500
2024-07-22,227.01,227.78,223.09,223.96,223.96,48201800
2024-07-23,224.37,226.94,222.68,225.01,225.01,39960300
2024-07-24,224.0,224.8,217.13,218.54,218.54,61777600
2024-07-25,218.93,220.85,214.62,217.49,217.49,51391200
2024-07-26,218.7,219.49,216.01,217.96,217.96,41601300
2024-07-29,216.96,219.3,215.75,218.24,218.24,36311800
2024-07-30,219.19,220.33,216.12,218.8,218.8,41643800
2024-07-31,221.44,223.82,220.63,222.08,222.08,50036300
2024-08-01,224.37,224.48,217.02,218.36,218.36,62501000
2024-08-02,219.15,225.6,217.71,219.86,219.86,105568600
2024-08-05,199.09,213.5,196.0,209.27,209.27,119548600
2024-08-06,205.3,209.99,201.07,207.23,207.23,69660500
2024-08-07,206.9,213.64,206.39,209.82,209.82,63516400
2024-08-08,213.11,214.2,208.83,213.31,213.31,47161100
2024-08-09,212.1,216.78,211.97,216.24,216.24,42201600
2024-08-12,216.07,219.51,215.6,217.53,217.53,38028100
2024-08-13,219.01,221.89,219.01,221.27,221.27,44155300
2024-08-14,220.57,223.03,219.7,221.72,221.72,41960600
2024-08-15,224.6,225.35,222.76,224.72,224.72,46414000
2024-08-16,223.92,226.83,223.65,226.05,226.05,44340200
2024-08-19,225.72,225.99,223.04,225.89,225.89,40687800
2024-08-20,225.77,227.17,225.45,226.51,226.51,30299000
2024-08-21,226.52,227.98,225.05,226.4,226.4,34765500
2024-08-22,227.79,228.34,223.9,224.53,224.53,43695300
2024-08-23,225.66,228.22,224.33,226.84,226.84,38677300
2024-08-26,226.76,227.28,223.89,227.18,227.18,30602200
2024-08-27,226.0,228.85,224.89,228.03,228.03,35934600
2024-08-28,227.92,229.86,225.68,226.49,226.49,38052200
2024-08-29,230.1,232.92,228.88,229.79,229.79,51906300
2024-08-30,230.19,230.4,227.48,229.0,229.0,52990800
2024-09-03,228.55,229.0,221.17,222.77,222.77,50190600
2024-09-04,221.66,221.78,217.48,220.85,220.85,43840200
2024-09-05,221.63,225.48,221.52,222.38,222.38,36615400
2024-09-06,223.95,225.24,219.77,220.82,220.82,48423000
2024-09-09,220.82,221.27,216.71,220.91,220.91,67180000
2024-09-10,218.92,221.48,216.73,220.11,220.11,51591000
2024-09-11,221.46,223.09,217.89,222.66,222.66,44587100
2024-09-12,222.5,223.55,219.82,222.77,222.77,37498200
2024-09-13,223.58,224.04,221.91,222.5,222.5,36766600
2024-09-16,216.54,217.22,213.92,216.32,216.32,59357400
2024-09-17,215.75,216.9,214.5,216.79,216.79,45519300
2024-09-18,217.55,222.71,217.54,220.69,220.69,59894900
2024-09-19,224.99,229.82,224.63,228.87,228.87,66781300
2024-09-20,229.97,233.09,227.62,228.2,228.2,318679900
2024-09-23,227.34,229.45,225.81,226.47,226.47,54146000
2024-09-24,228.65,229.35,225.73,227.37,227.37,43556100
2024-09-25,224.93,227.29,224.02,226.37,226.37,42308700
2024-09-26,227.3,228.5,225.41,227.52,227.52,36636700
2024-09-27,228.46,229.52,227.3,227.79,227.79,34026000
2024-09-30,230.04,233.0,229.65,233.0,233.0,54541900
2024-10-01,229.52,229.65,223.74,226.21,226.21,63285000
2024-10-02,225.89,227.37,223.02,226.78,226.78,32880600
2024-10-03,225.14,226.81,223.32,225.67,225.67,34044200
2024-10-04,227.9,228.0,224.13,226.8,226.8,37245100
2024-10-07,224.5,225.69,221.33,221.69,221.69,39505400
2024-10-08,224.3,225.98,223.25,225.77,225.77,31855700
2024-10-09,225.23,229.75,224.83,229.54,229.54,33591100
2024-10-10,227.78,229.5,227.17,229.04,229.04,28183500
2024-10-11,229.3,229.41,227.34,227.55,227.55,31759200
2024-10-14,228.7,231.73,228.6,231.3,231.3,39882100
2024-10-15,233.61,237.49,232.37,233.85,233.85,64751400
2024-10-16,231.6,232.12,229.84,231.78,231.78,34082200
2024-10-17,233.43,233.85,230.52,232.15,232.15,32993800
2024-10-18,236.18,236.18,234.01,235.0,235.0,46431500
2024-10-21,234.45,236.85,234.45,236.48,236.48,36254500
2024-10-22,233.89,236.22,232.6,235.86,235.86,38846600
2024-10-23,234.08,235.14,227.76,230.76,230.76,52287000
2024-10-24,229.98,230.82,228.41,230.57,230.57,31109500
2024-10-25,229.74,233.22,229.57,231.41,231.41,38802300
2024-10-28,233.32,234.73,232.55,233.4,233.4,36087100
2024-10-29,233.1,234.33,232.32,233.67,233.67,35417200
2024-10-30,232.61,233.47,229.55,230.1,230.1,47070900
2024-10-31,229.34,229.83,225.37,225.91,225.91,64370100
2024-11-01,220.97,225.35,220.27,222.91,222.91,65276700
2024-11-04,220.99,222.79,219.71,222.01,222.01,44944500
2024-11-05,221.8,223.95,221.14,223.45,223.45,28111300
2024-11-06,222.61,226.07,221.19,222.72,222.72,54561100
2024-11-07,224.63,227.88,224.57,227.48,227.48,42137700
2024-11-08,227.17,228.66,226.41,226.96,226.96,38308700
2024-11-11,225.05,225.7,221.5,224.23,224.23,41415717
